OTU	Test-Statistic	P	FDR_P	Bonferroni_P	teen_mean	20s_mean	60s_mean	30s_mean	70+_mean	40s_mean	child_mean	baby_mean	50s_mean	taxonomy
572882	0.188393566588	0.999996957312	1.0	1.0	0.0	0.0	0.0135135135135	0.0	0.0	0.0212264150943	0.0	0.016393442623	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__; s__
24175	0.188171113181	0.999996971389	1.0	1.0	0.0333333333333	0.0	0.0	0.0	0.0142857142857	0.00471698113208	0.0	0.0	0.0113122171946	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
4466203	0.188077673578	0.999996977288	1.0	1.0	0.0	0.0	0.00810810810811	0.0145278450363	0.00714285714286	0.00235849056604	0.0294117647059	0.0	0.0135746606335	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__nigrescens
512682	0.187892686571	0.99999698894	1.0	1.0	0.0	0.117647058824	0.0378378378378	0.00968523002421	0.0285714285714	0.0165094339623	0.0	0.0	0.0361990950226	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
4478358	0.18786253612	0.999996990836	1.0	1.0	0.133333333333	0.0	0.0	0.0121065375303	0.0	0.00471698113208	0.0147058823529	0.114754098361	0.00226244343891	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella; s__dispar
3220254	0.187818599244	0.999996993598	1.0	1.0	0.0	0.0106951871658	0.0243243243243	0.00726392251816	0.0214285714286	0.0117924528302	0.0	0.0	0.0158371040724	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
183626	0.187749199807	0.999996997956	1.0	1.0	0.0333333333333	0.00534759358289	0.0189189189189	0.0169491525424	0.0214285714286	0.0259433962264	0.0147058823529	0.0	0.0248868778281	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
89553	0.187438446491	0.999997017412	1.0	1.0	0.0	0.0	0.00810810810811	0.00726392251816	0.0214285714286	0.0117924528302	0.0	0.0	0.0135746606335	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__; f__; g__; s__
110458	0.187294467906	0.999997026395	1.0	1.0	0.0	0.112299465241	0.0324324324324	0.0121065375303	0.00714285714286	0.0165094339623	0.0	0.0	0.0226244343891	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__; s__
178332	0.187179650088	0.999997033544	1.0	1.0	0.0	0.0106951871658	0.0162162162162	0.0145278450363	0.00714285714286	0.00943396226415	0.0294117647059	0.0	0.0158371040724	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__
239283	0.186996656261	0.999997044912	1.0	1.0	0.0	0.0	0.0108108108108	0.00968523002421	0.00714285714286	0.0165094339623	0.0	0.0	0.00226244343891	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
290186	0.186905646977	0.999997050554	1.0	1.0	0.0	0.0106951871658	0.00810810810811	0.0217917675545	0.0285714285714	2.71933962264	0.0	0.0655737704918	0.0113122171946	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__
899195	0.186426882238	0.999997080101	1.0	1.0	0.0	0.0106951871658	0.108108108108	0.217917675545	0.0285714285714	0.0542452830189	0.0	0.0	0.12443438914	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
