OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Summer_mean	Spring_mean	Winter_mean	Fall_mean	taxonomy
710275	33.7799355714	2.20484772421e-07	9.71544101196e-05	0.00242886025299	31.1938325991	0.40350877193	0.00440528634361	0.886178861789	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__
3989856	33.1227844782	3.03421170802e-07	0.00012855721606	0.00334248761756	2.18942731278	2.2134502924	3.64757709251	2.15447154472	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
4419276	32.9928066509	3.23194459913e-07	0.000131863339645	0.0035603101704	2.74008810573	3.48830409357	1.59911894273	0.894308943089	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
650171	32.3576446058	4.39950432223e-07	0.000173089070049	0.00484649396137	29.6651982379	9.52923976608	1.60352422907	9.06504065041	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
1000986	32.2734383711	4.58305644853e-07	0.000174092930472	0.0050486949837	9.92511013216	2.30116959064	0.929515418502	2.68292682927	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
194380	30.7239171733	9.71777080805e-07	0.000356836544072	0.0107050963221	0.215859030837	0.640350877193	0.0969162995595	0.154471544715	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
4405869	30.3365851404	1.1724238595e-06	0.000416626491493	0.0129154212363	0.0704845814978	0.105263157895	0.237885462555	0.422764227642	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__
2035344	29.912154589	1.44003953944e-06	0.000495733611453	0.0158634755665	1.73127753304	2.48538011696	2.33480176211	2.21951219512	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
4454839	29.3964004662	1.84852081405e-06	0.000609121904158	0.0203633052876	15.872246696	33.8362573099	5.23788546256	56.081300813	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Enterobacter; s__radicincitans
446403	29.3615081279	1.88000587703e-06	0.000609121904158	0.0207101447414	0.145374449339	0.0877192982456	0.0	0.170731707317	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
