OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Rarely (few times/month)_mean	Occasionally (1-2 times/week)_mean	Never_mean	Regularly (3-5 times/week)_mean	Daily_mean	taxonomy
4477062	53.1176470587	8.05211871482e-11	2.46394832674e-08	8.87021397625e-07	0.0	0.0	0.0588235294118	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
4478663	53.1176470587	8.05211871482e-11	2.46394832674e-08	8.87021397625e-07	0.0	0.0	0.0588235294118	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
92721	53.1176470587	8.05211871482e-11	2.46394832674e-08	8.87021397625e-07	0.0	0.0	0.0588235294118	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__
4477911	53.1176470587	8.05211871482e-11	2.46394832674e-08	8.87021397625e-07	0.0	0.0	0.0588235294118	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
4444215	53.1176470587	8.05211871482e-11	2.46394832674e-08	8.87021397625e-07	0.0	0.0	0.0588235294118	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__
4401987	53.1176470587	8.05211871482e-11	2.46394832674e-08	8.87021397625e-07	0.0	0.0	0.0588235294118	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Methylophilales; f__Methylophilaceae; g__; s__
666785	53.1176470587	8.05211871482e-11	2.46394832674e-08	8.87021397625e-07	0.0	0.0	0.0588235294118	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae; g__Rhodocyclus; s__
86606	53.1176470587	8.05211871482e-11	2.46394832674e-08	8.87021397625e-07	0.0	0.0	0.0588235294118	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Arsenophonus; s__Arsenophonus endosymbiont of Dermacentor variabilis
755209	53.1176470587	8.05211871482e-11	2.46394832674e-08	8.87021397625e-07	0.0	0.0	0.0588235294118	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
335941	53.1176470587	8.05211871482e-11	2.46394832674e-08	8.87021397625e-07	0.0	0.0	0.0588235294118	0.0	0.0	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Bulleidia; s__
290640	53.1176470587	8.05211871482e-11	2.46394832674e-08	8.87021397625e-07	0.0	0.0	0.0588235294118	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
260666	37.2315306214	1.61391666474e-07	4.805109724e-05	0.00177789059788	0.0	0.00510204081633	0.176470588235	0.0	0.0131004366812	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
357765	34.560226379	5.71901289373e-07	0.000165791173782	0.00630006460373	0.0	0.00510204081633	0.117647058824	0.00763358778626	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
42997	30.5037805972	3.86448910164e-06	0.00109156953702	0.0425712119437	0.0117647058824	0.0	0.0588235294118	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__; f__; g__; s__
3746876	27.4543427014	1.60873522077e-05	0.00425646862232	0.17721827192	0.0117647058824	0.0663265306122	0.235294117647	0.030534351145	0.0349344978166	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria; g__Carludovica; s__palmata
176726	27.4356160765	1.62283662071e-05	0.00425646862232	0.178771682137	0.0	0.00510204081633	0.0588235294118	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
2214203	27.4356160765	1.62283662071e-05	0.00425646862232	0.178771682137	0.0	0.00510204081633	0.0588235294118	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Methylophilales; f__; g__; s__
23513	27.3818384263	1.66401908903e-05	0.00426298471738	0.183308342847	0.0	0.0765306122449	0.0588235294118	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Aerococcus; s__
4484176	27.1515607797	1.85244492747e-05	0.00427167970166	0.20406533321	0.0	0.0	0.352941176471	0.0	0.00436681222707	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__; s__
322991	27.1515607797	1.85244492747e-05	0.00427167970166	0.20406533321	0.0	0.0	1.17647058824	0.0	0.00436681222707	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
242046	27.1515607797	1.85244492747e-05	0.00427167970166	0.20406533321	0.0	0.0	0.352941176471	0.0	0.00436681222707	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
616848	27.0970425103	1.9000753938e-05	0.00427167970166	0.209312305381	0.0	0.0	0.0588235294118	0.0	0.00436681222707	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Aquimonas; s__
1109293	27.0970425103	1.9000753938e-05	0.00427167970166	0.209312305381	0.0	0.0	0.0588235294118	0.0	0.00436681222707	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__
223307	27.0970425103	1.9000753938e-05	0.00427167970166	0.209312305381	0.0	0.0	0.0588235294118	0.0	0.00436681222707	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
162539	27.0425288324	1.94891953691e-05	0.00429385952372	0.214692976186	0.0	0.0	0.117647058824	0.0	0.0393013100437	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__
672440	26.7970696451	2.18478427875e-05	0.0047191340421	0.240675836147	14.2941176471	8.55612244898	0.941176470588	20.0941475827	17.384279476	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
41229	26.2578792198	2.80726585312e-05	0.00538049666877	0.309248406379	0.0	0.0	0.0588235294118	0.00254452926209	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Sutterella; s__
1862340	26.2578792198	2.80726585312e-05	0.00538049666877	0.309248406379	0.0	0.0	0.0588235294118	0.00254452926209	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
4326084	26.2578792198	2.80726585312e-05	0.00538049666877	0.309248406379	0.0	0.0	0.0588235294118	0.00254452926209	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
2912622	26.2015412782	2.88171117881e-05	0.00538049666877	0.317449303458	0.0	0.0	0.0588235294118	0.00508905852417	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Aquitalea; s__
806092	26.2015412782	2.88171117881e-05	0.00538049666877	0.317449303458	0.0	0.0	0.0588235294118	0.00763358778626	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Clavibacter; s__michiganensis
578740	26.2015412782	2.88171117881e-05	0.00538049666877	0.317449303458	0.0	0.0	0.0588235294118	0.00508905852417	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
4451781	26.2015412782	2.88171117881e-05	0.00538049666877	0.317449303458	0.0	0.0	0.0588235294118	0.00763358778626	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cardiobacteriales; f__Cardiobacteriaceae; g__Cardiobacterium; s__
