OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Rarely (few times/month)_mean	Occasionally (1-2 times/week)_mean	Never_mean	Daily_mean	Regularly (3-5 times/week)_mean	taxonomy
839610	0.046947762522	0.999728762283	1.0	1.0	0.139013452915	0.13679245283	0.0794701986755	0.0230769230769	0.149253731343	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
3807411	0.0467256246538	0.999731303129	1.0	1.0	0.461883408072	0.27358490566	0.350993377483	0.469230769231	0.398009950249	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
176954	0.0466800969218	0.999731822429	1.0	1.0	0.188340807175	0.193396226415	0.152317880795	0.138461538462	0.318407960199	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
110296	0.0465890182377	0.999732859809	1.0	1.0	0.116591928251	0.0330188679245	0.12582781457	0.00769230769231	0.0746268656716	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__; s__
198786	0.0464777610757	0.999734124336	1.0	1.0	0.0986547085202	0.13679245283	0.205298013245	0.238461538462	0.0945273631841	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri
192240	0.0463361805923	0.999735729241	1.0	1.0	0.116591928251	0.0518867924528	0.0860927152318	0.0	0.0149253731343	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__
4315790	0.0463169335469	0.99973594705	1.0	1.0	0.0	0.0	0.0	0.0307692307692	0.124378109453	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
864140	0.0463124748624	0.999735997494	1.0	1.0	0.0	0.127358490566	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__
366419	0.0462076412694	0.999737182174	1.0	1.0	0.0896860986547	0.150943396226	0.0132450331126	0.0769230769231	0.0298507462687	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Geobacillus; s__thermodenitrificans
181756	0.0461824800495	0.999737466121	1.0	1.0	0.910313901345	0.797169811321	0.761589403974	1.03076923077	0.960199004975	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
