OTU	Test-Statistic	P	FDR_P	Bonferroni_P	8 or more hours_mean	7-8 hours_mean	6-7 hours_mean	5-6 hours_mean	Less than 5 hours_mean	taxonomy
195933	0.381007251253	0.984002153692	1.0	1.0	0.0307692307692	0.0243309002433	0.0236486486486	0.0142857142857	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
4408503	0.379809318073	0.984096346533	1.0	1.0	0.130769230769	0.160583941606	0.0641891891892	0.0571428571429	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
4402077	0.37960129357	0.984112678903	1.0	1.0	0.0307692307692	0.021897810219	0.0236486486486	0.0142857142857	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
801210	0.379174863129	0.984146136043	1.0	1.0	6.02307692308	10.5790754258	9.66216216216	8.77142857143	11.75	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Sutterella; s__
617216	0.378473041345	0.984201133636	1.0	1.0	0.0692307692308	0.0340632603406	0.0304054054054	0.0571428571429	0.0	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__; s__
688800	0.372452794495	0.984669503603	1.0	1.0	0.269230769231	0.313868613139	0.290540540541	0.3	0.125	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
703321	0.371324303876	0.984756619245	1.0	1.0	0.0461538461538	0.029197080292	0.0371621621622	0.0285714285714	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
344512	0.368467878591	0.984976162622	1.0	1.0	0.00769230769231	0.0121654501217	0.0101351351351	0.0285714285714	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
1104908	0.367564536027	0.985045305219	1.0	1.0	0.00769230769231	0.021897810219	0.0101351351351	0.0142857142857	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
185222	0.367564536027	0.985045305219	1.0	1.0	0.00769230769231	0.0243309002433	0.0101351351351	0.0142857142857	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__
811644	0.364118635347	0.985307783765	1.0	1.0	0.0153846153846	0.029197080292	0.0439189189189	0.0285714285714	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
368711	0.363962787574	0.985319607103	1.0	1.0	0.0307692307692	0.0267639902676	0.0405405405405	0.0142857142857	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__; s__
