OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Rarely (few times/month)_mean	Occasionally (1-2 times/week)_mean	Never_mean	Daily_mean	Regularly (3-5 times/week)_mean	taxonomy
175145	17.0876368	0.00185861304704	0.758314123191	1.0	1.13004484305	1.05188679245	0.841059602649	1.34615384615	1.37810945274	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
4428676	16.9682242652	0.00196062076091	0.770163918155	1.0	3.7802690583	3.59433962264	2.37748344371	3.6	3.11940298507	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__
731422	16.8207269806	0.00209426649349	0.770163918155	1.0	9.26457399103	9.35849056604	10.7748344371	17.9692307692	19.671641791	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Phascolarctobacterium; s__
4460021	16.7237705856	0.00218696923975	0.770163918155	1.0	0.910313901345	0.575471698113	0.794701986755	1.18461538462	0.930348258706	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
3412718	16.6076364439	0.00230334389489	0.770163918155	1.0	0.0269058295964	0.0471698113208	0.490066225166	0.0384615384615	0.0398009950249	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
4352657	16.5938366688	0.00231757163379	0.770163918155	1.0	31.1434977578	26.4905660377	28.3245033113	41.0692307692	41.5124378109	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
4476527	16.5798856624	0.00233204332495	0.770163918155	1.0	182.358744395	127.566037736	117.622516556	175.623076923	136.92039801	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii
4325096	16.5370380583	0.00237704913011	0.770163918155	1.0	0.0224215246637	0.0660377358491	0.00662251655629	0.0923076923077	0.0995024875622	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
847670	16.4620816023	0.00245784827653	0.773590188979	1.0	0.0403587443946	0.061320754717	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__
147484	16.3551517526	0.00257781594294	0.788811678541	1.0	2.7130044843	3.78301886792	2.61589403974	3.62307692308	3.84577114428	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]; g__; s__
130763	16.2483319177	0.00270341506773	0.804887037462	1.0	1.49775784753	1.13679245283	0.960264900662	1.66923076923	1.80597014925	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
4306843	15.9860772878	0.00303790286136	0.880672050547	1.0	0.0179372197309	0.0188679245283	0.0264900662252	0.0153846153846	0.0597014925373	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
